epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0567,0.72662,2.77136,1.03401,0.00333,1,0.74174,0.74136,0.12578,2.6704,0.60357,6e-05,6e-05,6e-05
2,23.514,0.45229,2.2744,0.8966,0.00333,1,0.83214,0.80804,0.30054,2.65337,0.60813,0.000137228,0.000137228,0.000137228
3,33.5375,0.3048,1.37082,0.8435,0.99252,0.91304,0.96912,0.96067,0.20481,2.19016,0.61419,0.000211288,0.000211288,0.000211288
4,43.5994,0.26911,0.8467,0.80168,0.99286,1,0.995,0.9856,0.21981,2.06426,0.59594,0.00028218,0.00028218,0.00028218
5,53.6452,0.36123,0.93875,0.79445,1,0.80058,0.995,0.995,0.12825,2.23256,0.57525,0.000349904,0.000349904,0.000349904
6,63.4059,0.30052,0.89078,0.82047,1,0.98707,0.995,0.995,0.16654,2.12215,0.5837,0.00041446,0.00041446,0.00041446
7,73.0903,0.32056,0.8146,0.82693,0.98745,1,0.995,0.995,0.18548,1.76811,0.58574,0.000475848,0.000475848,0.000475848
8,83.1333,0.28061,0.82845,0.82779,0.99687,1,0.995,0.995,0.17274,1.23584,0.56985,0.000534068,0.000534068,0.000534068
9,92.7959,0.28043,0.73802,0.82619,0.9959,1,0.995,0.995,0.1642,1.30386,0.55369,0.00058912,0.00058912,0.00058912
10,102.628,0.27601,0.76534,0.81181,0.99545,1,0.995,0.995,0.19,1.25292,0.57437,0.000641004,0.000641004,0.000641004
11,112.559,0.29002,0.78432,0.86482,0.99736,1,0.995,0.995,0.19814,1.13618,0.57184,0.00068972,0.00068972,0.00068972
12,122.461,0.2781,0.72736,0.82399,0.99745,1,0.995,0.995,0.23241,1.09364,0.57808,0.000735268,0.000735268,0.000735268
13,132.159,0.28983,0.67543,0.81338,0.99814,1,0.995,0.93982,0.24551,1.14024,0.5788,0.000777648,0.000777648,0.000777648
14,142.432,0.32477,0.72409,0.84231,0.99781,1,0.995,0.995,0.18508,1.12586,0.56981,0.00081686,0.00081686,0.00081686
15,152.358,0.26676,0.63193,0.83696,0.99675,1,0.995,0.97854,0.18494,1.03137,0.57494,0.000852904,0.000852904,0.000852904
16,162.144,0.28523,0.6645,0.85413,0.99628,1,0.995,0.995,0.15238,1.08369,0.57507,0.00088578,0.00088578,0.00088578
17,171.896,0.32854,0.68591,0.83911,0.99703,1,0.995,0.995,0.16963,0.91843,0.58618,0.000915488,0.000915488,0.000915488
18,181.673,0.28374,0.61081,0.80575,0.99752,1,0.995,0.995,0.19307,0.7693,0.59685,0.000942028,0.000942028,0.000942028
19,191.381,0.29929,0.6366,0.83674,0.99747,1,0.995,0.995,0.22656,0.76768,0.59396,0.0009654,0.0009654,0.0009654
20,201.133,0.27202,0.63311,0.8378,0.99759,1,0.995,0.995,0.23417,0.72731,0.59612,0.000985604,0.000985604,0.000985604
21,211.053,0.29221,0.57857,0.83687,0.99742,1,0.995,0.995,0.18147,0.83697,0.58645,0.00100264,0.00100264,0.00100264
22,220.592,0.2663,0.54881,0.82769,0.99742,1,0.995,0.995,0.18375,0.79236,0.58767,0.00101651,0.00101651,0.00101651
23,230.439,0.30272,0.62503,0.85177,0.99762,1,0.995,0.995,0.17222,0.61962,0.58956,0.00102721,0.00102721,0.00102721
24,240.146,0.29781,0.58606,0.81077,0.99778,1,0.995,0.995,0.20969,0.57955,0.59398,0.00103474,0.00103474,0.00103474
25,249.898,0.2727,0.51946,0.8296,0.99776,1,0.995,0.995,0.24345,0.61676,0.59323,0.0010391,0.0010391,0.0010391
26,259.678,0.29542,0.52918,0.8366,0.99777,1,0.995,0.96903,0.21827,0.55412,0.58148,0.00101,0.00101,0.00101
27,270.507,0.25757,0.52361,0.84407,0.99776,1,0.995,0.98588,0.19136,0.53386,0.57754,0.0009704,0.0009704,0.0009704
28,280.569,0.2592,0.52673,0.80073,0.99775,1,0.995,0.995,0.18904,0.49018,0.57913,0.0009308,0.0009308,0.0009308
29,290.497,0.28401,0.50334,0.8182,0.99763,1,0.995,0.995,0.17508,0.467,0.58078,0.0008912,0.0008912,0.0008912
